,MKT_EXBTCETH
2023-12-01,33.38335553562196
2023-12-02,34.45711338641747
2023-12-03,34.258099737285484
2023-12-04,34.7979757559971
2023-12-05,35.12513110027453
2023-12-06,35.31930339561757
2023-12-07,36.72360821854903
2023-12-08,39.27232604542024
2023-12-09,39.044587595028126
2023-12-10,40.10047806810539
2023-12-11,38.083306175208754
2023-12-12,38.890152040672625
2023-12-13,39.88076687249466
2023-12-14,40.538809878793444
2023-12-15,38.91051208850699
2023-12-16,40.054221867505035
2023-12-17,38.834769419075265
2023-12-18,39.55588690281343
2023-12-19,39.05895476901088
2023-12-20,40.9782811785766
2023-12-21,43.80785751849171
2023-12-22,44.905800424412504
2023-12-23,46.1669968468771
2023-12-24,46.15207154475258
2023-12-25,48.2014174811268
2023-12-26,47.0674493899826
2023-12-27,47.851921952614376
2023-12-28,46.637996787161306
2023-12-29,46.59015278530375
2023-12-30,46.1797527823481
2023-12-31,46.05204214585441
2024-01-01,48.42288994889744
2024-01-02,47.663699946814184
2024-01-03,44.91340854843963
2024-01-04,46.5676014479936
2024-01-05,44.944604682177456
2024-01-06,42.98330604656642
2024-01-07,41.44259439948234
2024-01-08,44.15756558044109
2024-01-09,43.43620051157872
2024-01-10,46.50880807748488
2024-01-11,47.025939595141764
2024-01-12,44.58771850311691
2024-01-13,45.42066243826741
2024-01-14,44.18909850517127
2024-01-15,45.027230801674214
2024-01-16,45.43427107786701
2024-01-17,45.34478044037093
2024-01-18,43.11070100513028
2024-01-19,43.07481439350342
2024-01-20,43.264532523145945
2024-01-21,42.67930289669159
2024-01-22,40.291993336093995
2024-01-23,40.104074405202404
2024-01-24,40.78414910582771
2024-01-25,40.24379733414773
2024-01-26,42.15275652682227
2024-01-27,42.55327988866466
2024-01-28,42.639671859138176
2024-01-29,44.28298454568494
2024-01-30,43.732541863892315
2024-01-31,42.27221509798548
2024-02-01,42.90386408055818
2024-02-02,43.742577862768265
2024-02-03,43.283085439319244
2024-02-04,42.6441911516724
2024-02-05,42.8136358999334
2024-02-06,43.12115008336867
2024-02-07,44.259008394838176
2024-02-08,44.66820232465592
2024-02-09,46.27272128465297
2024-02-10,46.6457518953572
2024-02-11,46.603535458876145
2024-02-12,48.06242753497976
2024-02-13,47.5916054200013
2024-02-14,49.2915457995047
2024-02-15,49.90052074674494
2024-02-16,49.27763340804268
2024-02-17,48.93977381808129
2024-02-18,49.789144563449405
2024-02-19,50.3173404460094
2024-02-20,49.43227347088065
2024-02-21,48.44374630753821
2024-02-22,47.89285892725132
2024-02-23,47.97487462028709
2024-02-24,49.284834541036524
2024-02-25,49.56490892346011
2024-02-26,51.28209768559514
2024-02-27,51.58004331966038
2024-02-28,53.71533970625395
2024-02-29,54.485141645194766
2024-03-01,57.005573571408064
2024-03-02,59.91100103267646
2024-03-03,59.678295776067934
2024-03-04,61.80230661789564
2024-03-05,58.33209756114337
2024-03-06,62.09395034951171
2024-03-07,64.39843304369697
2024-03-08,64.91551055004591
2024-03-09,65.27931059743348
2024-03-10,65.05444890803561
2024-03-11,68.51286730864119
2024-03-12,68.48175848201736
2024-03-13,71.56346754122013
2024-03-14,72.09804174076675
2024-03-15,71.08506799461657
2024-03-16,66.4335310482339
2024-03-17,70.24387457503039
2024-03-18,68.24592904386655
2024-03-19,61.789282926197856
2024-03-20,67.88764152188033
2024-03-21,66.44577276652633
2024-03-22,65.28896648690396
2024-03-23,65.35144305446237
2024-03-24,68.39316266516921
2024-03-25,70.50034559728623
2024-03-26,71.13322165144893
2024-03-27,69.95322844602342
2024-03-28,71.43416040491472
2024-03-29,72.0694593928851
2024-03-30,71.24905625179888
2024-03-31,73.58599722204332
2024-04-01,70.02345546870433
2024-04-02,65.8791301604912
2024-04-03,65.61895742207926
2024-04-04,66.81555777859421
2024-04-05,65.10063492353264
2024-04-06,66.60296271151286
2024-04-07,67.40015041531575
2024-04-08,68.76660854414051
2024-04-09,65.92314494048055
2024-04-10,66.2164619926915
2024-04-11,65.27730813434462
2024-04-12,58.23919886796005
2024-04-13,52.11705438323149
2024-04-14,55.73940466530382
2024-04-15,53.36274705558538
2024-04-16,52.86054288856773
2024-04-17,51.57336708691423
2024-04-18,53.82622535886503
2024-04-19,54.12686465223134
2024-04-20,57.62299817578942
2024-04-21,57.10144615962799
2024-04-22,59.532139325896935
2024-04-23,58.987988864824025
2024-04-24,56.875307954411745
2024-04-25,56.643028760782244
2024-04-26,55.38697006496109
2024-04-27,55.721161113230856
2024-04-28,55.10644825512667
2024-04-29,54.77302078134024
2024-04-30,51.84431295900869
2024-05-01,52.78556564306574
2024-05-02,53.335867300680775
2024-05-03,55.728438145268555
2024-05-04,56.294767806742854
2024-05-05,56.62528730442131
2024-05-06,56.8989227553425
2024-05-07,55.36471493218143
2024-05-08,54.49981968922268
2024-05-09,56.524891453312534
2024-05-10,54.47840187846694
2024-05-11,54.3622639373684
2024-05-12,54.10513997885202
2024-05-13,54.664265260299295
2024-05-14,53.018939727052725
2024-05-15,56.83528191430906
2024-05-16,56.57603680150689
2024-05-17,58.78363197608597
2024-05-18,59.01481024183062
2024-05-19,57.79067076067812
2024-05-20,62.92481973970675
2024-05-21,62.626175334619184
2024-05-22,61.55039613496136
2024-05-23,60.74038312364834
2024-05-24,60.212630281487
2024-05-25,61.078182643590154
2024-05-26,59.94998362263745
2024-05-27,61.51791847834295
2024-05-28,60.7308836911582
2024-05-29,60.010478855256146
2024-05-30,59.37450575934603
2024-05-31,59.04996587405105
2024-06-01,59.3340313858432
2024-06-02,58.52615569307697
2024-06-03,59.17306003653097
2024-06-04,61.688134607251435
2024-06-05,62.51596111072689
2024-06-06,61.78621377946423
2024-06-07,58.74208376013771
2024-06-08,57.553088420022256
2024-06-09,58.23164466057605
2024-06-10,56.74624366306224
2024-06-11,54.08536194788003
2024-06-12,56.260428407757054
2024-06-13,53.8610628811661
2024-06-14,52.79725700147184
2024-06-15,53.64927041505554
2024-06-16,54.52699759553974
2024-06-17,52.21956096856891
2024-06-18,49.84187156019471
2024-06-19,50.29988075366828
2024-06-20,49.935120605898334
2024-06-21,49.906572825963295
2024-06-22,49.70855558255688
2024-06-23,48.53701598908606
2024-06-24,48.71314474526132
2024-06-25,50.038738780484785
2024-06-26,49.53194690368121
2024-06-27,51.576211279211336
2024-06-28,49.767195305422554
2024-06-29,49.68668132078361
2024-06-30,51.26330884389569
2024-07-01,51.037912140715655
2024-07-02,52.075087101896415
2024-07-03,49.020823240895886
2024-07-04,44.719394892874014
2024-07-05,44.685737002656836
2024-07-06,47.73189528753341
2024-07-07,44.27164395094286
2024-07-08,46.19770602588892
2024-07-09,46.96355557402602
2024-07-10,47.32581999666448
2024-07-11,46.74614807562147
2024-07-12,48.05339907368463
2024-07-13,49.27782777064129
2024-07-14,50.456471576394875
2024-07-15,53.704541503712086
2024-07-16,53.925586133194834
2024-07-17,53.26806264872946
2024-07-18,52.876755088227334
2024-07-19,55.08936408652482
2024-07-20,55.86811689353883
2024-07-21,57.76259277622471
2024-07-22,56.04048059658903
2024-07-23,54.766760672206026
2024-07-24,54.58372168534208
2024-07-25,53.264579989225616
2024-07-26,55.54647820452517
2024-07-27,55.494662239528495
2024-07-28,55.29585193254473
2024-07-29,54.85661359672517
2024-07-30,54.443396902437335
2024-07-31,52.89911376663661
2024-08-01,52.16576180155561
2024-08-02,48.41959453463454
2024-08-03,46.670758701809774
